すうがく,Maths
れきし,History
ちり,Geography
りか,Science
たいいく,P.E.
かもく,School Subject
こくご,Japanese
せんせい,Teacher
せいと,Student
えんぴつ,Pencil
ペン,Pen
つくえ,Desk
いす,Chair
ごみばこ,Rubbish Bin
こくばん,Blackboard
がっこう,School
しょがっこう,Elementary School
ちゅうがっこう,Middle School
こうとうがっこう,High school 
こうこう,High school (abbr)
だいがく,College (or university)
～ねんせい,-nth year student
～せい,-student
だいがくせい,College / Uni student
こうこうせい,High School student
ちゅうがくせい,Middle schooler
しょうがくせい,Elementary schooler
あなたはなねんせいですか。,What school year are you in?
