たべもの,Food
わしょく,Japanese Food
ようしょく,Western Food
すし,Sushi
さしみ,Raw fish
わさび,JP Horseradish
しょうゆ,Soy Sauce
てんぷら,Tempura - Battered Stuff
す,Vinegar
やきとり,Kebab/Grilled Chicken
チキン,Chicken (meat not animal)
さかな,Fish (meat or animal)
ラーメン,Ramen
やさい,Vegetables
いも,Potato
トマト,Tomato
レタス,Lettuce
にんじん,Carrot
にんにく,Garlic
ねぎ,Green onion
たまねぎ,Round Onion
たまご,Egg
くだもの,Fruit
りんご,Apple
ぶどう,Red Grape
マスカット,Green Grape
レモン,Lemon
オレンジ,Orange
みかん,Tangerine
なし,Asian pear
いちご,Strawberry
すいか,Watermelon
のみもの,Beverage
ぎゅうにゅう,Milk
ミルクセーキ,Milkshake
オレンジジュース,Orange Juice
レモネード,Lemonade
さけ,Sake
ビール,Beer
ワイン,Wine
みず,Water
あさ,Morning
ひる,Noon
ばん,Evening
ごはん,Rice
しょくじ,Meal
あさごはん,Breakfast
ひるごはん,Lunch
ばんごはん,Dinner
