To Exist (animate),います
To Exist (inanimate),あります
To Go,いきます
To Come,きます
To See,みます
To Read,よみます
To Eat,たべます
To Drink,のみます
To Do,します
To Speak,はなします
To Hear / to Ask,ききます
To Write,かきます
To Buy,かいます
To Stand,たちます
To Sit,すわります
To Understand,わかります
To Exist (animate) -te,いて
To Exist (inanimate) -te,あって
To Go -te,いって
To Come -te,きて
To See -te,みて
To Read -te,よんで
To Eat -te,たべて
To Drink -te,のんで
To Do -te,して
To Speak -te,はなして
To Hear / to ask -te,きいて
To Write -te,かいて
To Buy -te,かって
To Stand -te,たって
To Sit -te,すわって
To Understand -te,わかって
