いえ,House
へや,Room
いま,Living Room
だいどころ,Kitchen
れいぞうこ,Fridge
おてあらい,Bathroom (polite - toilet)
トイレ,Bathroom (toilet)
ながしだい,Sink
おふろ,Bath
おふろば,Bathroom (with bath)
やね,Roof
てんじょう,Ceiling
かべ,Wall
にわに,Garden
ゆか,Hardwood Floor
ドア,Door
まど,Window
ほん,Book
ほんだな,Bookshelf
いす,Chair
テエブル,Table
ベッド,Bed
たたみ,Tatami
しょうじ,Sliding paper door
ふとん,Futon
テレビ,TV
ラジオ,Radio
とけい,Clock/Watch
エアコン,Air Con
さら,Plate
ちゃわん,Bowl
コップ,Cup/Glass
おはし,Chopsticks
ホウク,Fork
スプウン,Spoon
ナイフ,Knife
テエブル,Table
カウチ,Couch
コンピュウタア,Computer
いぬ,Dog
ねこ,Cat
りんご,Apple
とり,Bird
うま,Horse
べんきょう,The studying
れんしゅう,The practicing
そうじ,The cleaning
りょうり,The cooking
でんわ,Telephone
